                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.4123,                 1.5918,                 2.2968,                0.51784,                0.62667,                 0.5216,                0.28188,                 1.7317,                 3.3773,                 2.6269,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.4215,                 1.7914,                 2.2344,                 0.5171,                0.49941,                0.51454,                 0.2805,                 1.8179,                 2.7694,                 2.7484,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.2685,                 1.5644,                 2.1278,                0.42553,                0.52667,                0.49486,                0.31221,                 1.6811,                 2.5595,                 2.6646,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.2976,                 1.6724,                 2.1284,                0.49481,                0.46667,                0.50609,                0.37511,                 1.3533,                 2.2414,                 2.2505,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.1893,                 1.5095,                 2.1285,                0.49303,                   0.47,                0.48494,                 0.3684,                 1.5391,                 2.5639,                 2.6624,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.2805,                 1.5577,                 2.1295,                0.50471,                0.46633,                0.46293,                0.32647,                 1.7188,                 3.1176,                  2.914,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.2915,                 1.6906,                 2.1699,                0.55452,                   0.42,                0.45554,                 0.2903,                 1.8442,                 3.3659,                 3.0583,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.2141,                 1.5782,                 2.0873,                0.55452,                   0.42,                0.45554,                 0.2903,                 1.8442,                 3.3659,                 3.0583,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.2815,                 1.5113,                 2.1326,                0.49457,                0.42299,                 0.4466,                0.29783,                   1.64,                 4.6853,                  2.638,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.2167,                 1.5095,                 1.9842,                0.43076,                0.49667,                0.45305,                0.30368,                  1.479,                  3.809,                 2.3551,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.2961,                 1.5419,                  2.105,                0.45708,                0.47116,                0.44334,                 0.2861,                 1.5731,                 3.7388,                 2.5179,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.2328,                 1.5382,                 2.0583,                0.41397,                0.49667,                0.49329,                0.29348,                 1.5731,                 4.3593,                 2.5553,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.2145,                  1.512,                 1.9908,                0.34726,                0.63672,                0.50789,                0.32073,                 1.4417,                 5.4884,                  2.427,             0.00099862,             0.00099862,             0.00099862
                     83,                 1.1512,                 1.5117,                 2.0358,                0.39608,                0.62667,                0.52287,                0.36706,                 1.2153,                 3.7996,                 2.0619,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.2284,                 1.5361,                 2.0196,                0.39608,                0.62667,                0.52287,                0.36706,                 1.2153,                 3.7996,                 2.0619,             0.00098211,             0.00098211,             0.00098211
                     85,                 1.1712,                 1.4371,                 1.9785,                0.35257,                0.70333,                0.53753,                0.35953,                 1.2778,                  3.647,                 2.0976,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.2102,                 1.4554,                 2.0919,                0.47259,                   0.53,                0.49111,                0.29452,                 1.6054,                 3.0535,                 2.5687,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.0644,                 1.3477,                 1.9471,                0.51364,                0.43667,                 0.4506,                0.26763,                 1.9001,                 3.2444,                 3.2427,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.2459,                 1.4426,                 2.0109,                0.49076,                0.45333,                 0.4464,                0.31831,                 1.7429,                 4.2462,                 2.9881,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.1826,                 1.4684,                 1.9622,                0.48065,                0.41409,                0.44655,                0.33465,                 1.6309,                 5.2704,                  2.844,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.2068,                 1.4422,                 2.0099,                0.47657,                    0.4,                0.41938,                0.29023,                  1.771,                 5.3814,                 2.9899,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.1901,                  1.569,                 2.1264,                0.47657,                    0.4,                0.41938,                0.29023,                  1.771,                 5.3814,                 2.9899,             0.00092435,             0.00092435,             0.00092435
                     92,                  1.167,                  1.445,                 2.0755,                0.43404,                0.44333,                0.41391,                 0.2478,                 1.9463,                 4.8296,                 3.1764,              0.0009161,              0.0009161,              0.0009161
                     93,                 1.1699,                  1.338,                 2.0614,                0.46414,                0.47333,                0.44543,                 0.2862,                 1.7965,                 3.1827,                 3.1082,             0.00090785,             0.00090785,             0.00090785
                     94,                 1.1463,                  1.387,                 1.9567,                0.49583,                   0.49,                0.48509,                0.36584,                 1.2996,                 2.9306,                 2.2982,              0.0008996,              0.0008996,              0.0008996
                     95,                  1.142,                 1.4687,                 2.0307,                0.45356,                0.68667,                0.54835,                0.42159,                 1.1421,                 2.2371,                 1.9453,             0.00089134,             0.00089134,             0.00089134
