                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.6991,                 1.9981,                  2.167,                0.13551,                0.51681,                0.18338,                0.09804,                 1.5709,                 2.6458,                 2.0584,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.6607,                 1.8265,                 2.1311,                0.13572,                0.53783,                0.17486,                0.09234,                 1.5807,                 2.6266,                  2.063,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.5839,                 1.8604,                  2.107,                  0.147,                0.60046,                0.18123,                0.09117,                 1.6084,                 3.2824,                 2.0713,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.7074,                 1.8642,                 2.1847,                  0.147,                0.60046,                0.18123,                0.09117,                 1.6084,                 3.2824,                 2.0713,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.6674,                 1.9233,                 2.1264,                0.25883,                0.44572,                0.21426,                0.10649,                 1.6674,                  2.623,                 2.1136,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.6034,                 1.8068,                 2.0903,                0.25236,                0.43151,                0.21206,                0.10958,                 1.6442,                 2.4602,                 2.0908,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.4754,                 1.7512,                 2.0201,                0.28589,                0.43518,                0.21239,                0.11217,                 1.7276,                 2.3451,                 2.1324,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.5028,                 1.7371,                 2.0604,                0.29592,                0.40936,                0.23634,                0.12602,                 1.7945,                 2.2498,                 2.1862,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.5068,                 1.6808,                 2.0493,                0.25063,                0.38121,                0.18969,                0.10297,                 1.7775,                 2.4322,                 2.2091,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.6343,                 1.8304,                 2.0519,                0.19349,                0.43549,                0.14112,                0.07114,                 1.8731,                 2.9308,                 2.3203,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.5749,                 1.7484,                 2.0904,                0.16266,                 0.3602,                  0.137,                0.06621,                 1.8283,                 2.8146,                 2.2764,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.5122,                 1.7166,                 2.0167,                0.15321,                0.35161,                0.11241,                0.04758,                 2.0409,                 3.0347,                 2.4765,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.4619,                 1.6233,                 1.9483,                0.21138,                0.33077,                0.13833,                 0.0622,                 1.9868,                   2.86,                 2.4259,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.5013,                 1.7266,                   2.03,                0.23812,                0.34814,                0.16466,                 0.0876,                 1.7837,                 2.6643,                 2.2273,             0.00099862,             0.00099862,             0.00099862
                     83,                 1.4084,                 1.6877,                 1.9412,                0.24212,                0.38902,                0.18905,                  0.108,                 1.6605,                 2.5015,                 2.1083,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.5047,                 1.6993,                 1.9186,                 0.2326,                0.34532,                 0.1601,                0.07802,                 1.8934,                  2.697,                  2.324,             0.00098211,             0.00098211,             0.00098211
