                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 2.1231,                 1.6867,                 1.9107,                0.09896,                0.20388,                0.06169,                0.02109,                 3.4901,                 15.493,                 2.8314,             0.00092678,             0.00092678,             0.00092678
                     73,                 2.1177,                 1.5733,                 1.8552,                0.10602,                0.23982,                0.06951,                0.02431,                  3.415,                 12.998,                 2.7737,              0.0009197,              0.0009197,              0.0009197
                     74,                 2.0776,                 1.5257,                 1.8723,                0.08642,                0.21949,                0.05413,                0.01801,                 3.7055,                  13.87,                 3.0152,             0.00091263,             0.00091263,             0.00091263
                     75,                 2.1539,                 1.6211,                 1.8731,                0.09935,                 0.4235,                0.10856,                0.04074,                 3.1949,                 8.6095,                 2.7141,             0.00090556,             0.00090556,             0.00090556
                     76,                 2.1264,                 1.5969,                 1.9114,                0.10702,                0.41924,                0.11753,                0.04457,                 3.0859,                 10.426,                 2.5844,             0.00089848,             0.00089848,             0.00089848
                     77,                 2.1387,                 1.5953,                 1.8743,                0.11302,                 0.2465,                0.08938,                0.03416,                 3.2037,                 28.944,                 2.6888,             0.00089141,             0.00089141,             0.00089141
                     78,                 2.1366,                   1.72,                 1.8807,                0.17119,                0.07246,                 0.0246,                0.00835,                 3.7902,                 46.882,                 3.1679,             0.00088434,             0.00088434,             0.00088434
                     79,                 2.1243,                 1.5747,                 1.8443,                0.38103,                0.02221,                0.01227,                0.00318,                 3.8827,                 22.437,                 3.1868,             0.00087726,             0.00087726,             0.00087726
                     80,                 2.1097,                 1.6261,                 1.8827,                0.04758,                0.06264,                0.00692,                 0.0019,                 4.0465,                 23.706,                 3.2526,             0.00087019,             0.00087019,             0.00087019
                     81,                 2.0271,                 1.6506,                 1.8997,                0.09049,                0.16193,                0.05652,                0.01963,                 3.5206,                 26.927,                 2.9409,             0.00086312,             0.00086312,             0.00086312
                     82,                 2.0476,                 1.4961,                 1.8175,                0.13461,                 0.1563,                0.07467,                0.02742,                 3.6569,                 34.826,                 2.9782,             0.00085604,             0.00085604,             0.00085604
                     83,                 2.0135,                 1.5526,                 1.8238,                  0.116,                 0.1589,                 0.0663,                0.02601,                 3.6096,                 42.143,                 2.9894,             0.00084897,             0.00084897,             0.00084897
                     84,                 2.0866,                 1.5535,                 1.8487,                0.11087,                0.21537,                0.07393,                0.03021,                 3.2463,                 28.965,                 2.7857,              0.0008419,              0.0008419,              0.0008419
                     85,                 2.0312,                 1.5313,                  1.825,                0.05253,                0.01555,                0.00572,                 0.0019,                 4.1327,                 68.579,                 3.4078,             0.00083482,             0.00083482,             0.00083482
                     86,                 2.0118,                 1.5101,                 1.8251,                0.01854,                0.08085,                0.01127,                0.00308,                  3.606,                 24.496,                 3.1296,             0.00082775,             0.00082775,             0.00082775
                     87,                 2.0297,                 1.5696,                 1.8405,                 0.0245,                0.12918,                0.01683,                0.00522,                 3.3673,                 22.415,                 2.9501,             0.00082067,             0.00082067,             0.00082067
                     88,                 2.0323,                 1.4741,                 1.8188,                0.01789,                0.06144,                0.00957,                0.00338,                 3.7164,                 48.456,                 3.1556,              0.0008136,              0.0008136,              0.0008136
                     89,                 2.0142,                 1.5621,                  1.774,                0.03235,                0.10189,                0.01147,                0.00379,                 3.5214,                  30.72,                 3.0381,             0.00080653,             0.00080653,             0.00080653
                     90,                  2.005,                 1.4888,                 1.7892,                0.10645,                0.07652,                0.01986,                0.00671,                 3.7402,                 37.292,                 3.0813,             0.00079945,             0.00079945,             0.00079945
                     91,                 1.9849,                 1.4969,                 1.8215,                0.18238,                0.04134,                0.02582,                0.00759,                 4.0937,                 67.552,                 3.2555,             0.00079238,             0.00079238,             0.00079238
                     92,                 2.0027,                 1.5028,                 1.7921,                0.09252,                0.17322,                0.06553,                0.02643,                 3.2209,                  29.57,                 2.7353,             0.00078531,             0.00078531,             0.00078531
                     93,                 2.0309,                 1.4766,                 1.8199,                0.02986,                0.01945,                0.01121,                0.00368,                 4.0882,                 92.418,                 3.4872,             0.00077823,             0.00077823,             0.00077823
                     94,                 1.9483,                 1.4722,                 1.7604,                0.01204,                0.01994,                0.01057,                 0.0036,                  4.215,                 50.259,                 3.6073,             0.00077116,             0.00077116,             0.00077116
                     95,                 2.1074,                 1.6032,                 1.8302,                0.04633,                0.11812,                0.01532,                0.00453,                 3.4668,                  13.63,                  3.041,             0.00076409,             0.00076409,             0.00076409
                     96,                 2.0305,                  1.556,                 1.7828,                0.07103,                0.27099,                0.04933,                0.01778,                 2.9541,                 7.4514,                 2.5966,             0.00075701,             0.00075701,             0.00075701
                     97,                 1.9672,                 1.5697,                  1.769,                0.05134,                0.20122,                0.03696,                0.01381,                 3.2457,                 14.148,                 2.8034,             0.00074994,             0.00074994,             0.00074994
                     98,                 2.0289,                 1.4812,                 1.7902,                0.01171,                0.11571,                0.03188,                 0.0134,                 3.5492,                  20.13,                 2.9551,             0.00074287,             0.00074287,             0.00074287
                     99,                 1.9555,                 1.5326,                 1.7935,                0.00822,                0.05473,                0.00584,                0.00146,                 4.1798,                 43.871,                 3.3662,             0.00073579,             0.00073579,             0.00073579
                    100,                 1.9539,                 1.4028,                 1.7645,                0.10378,                0.19816,                0.06344,                0.02275,                 3.3931,                 21.322,                 2.8745,             0.00072872,             0.00072872,             0.00072872
                    101,                 2.0428,                 1.5563,                 1.8089,                0.01927,                0.03847,                0.00793,                0.00233,                 4.2031,                 64.317,                 3.5127,             0.00072164,             0.00072164,             0.00072164
                    102,                 1.9511,                 1.4422,                   1.72,                0.03412,                0.09587,                0.01476,                0.00509,                 3.4763,                 23.316,                 3.0755,             0.00071457,             0.00071457,             0.00071457
